Index	Vtop	Itop	Resistance
101	 -1.0000 V	 -106.9320 uA	 9.351737553 kohm
102	 -1.0000 V	 -104.3880 uA	 9.579645170 kohm
103	 -990.0 mV	 -96.6760 uA	 10.24039058 kohm
104	 -980.0 mV	 -89.0120 uA	 11.00975149 kohm
105	 -970.0 mV	 -87.6940 uA	 11.06119005 kohm
106	 -960.0 mV	 -80.4440 uA	 11.93376759 kohm
107	 -950.0 mV	 -78.8160 uA	 12.05339017 kohm
108	 -940.0 mV	 -72.3240 uA	 12.99706875 kohm
109	 -930.0 mV	 -69.5240 uA	 13.37667568 kohm
110	 -920.0 mV	 -67.8180 uA	 13.56572002 kohm
111	 -910.0 mV	 -66.0880 uA	 13.76951943 kohm
112	 -900.0 mV	 -62.6240 uA	 14.37148697 kohm
113	 -890.0 mV	 -60.3000 uA	 14.75953566 kohm
114	 -880.0 mV	 -59.0720 uA	 14.89707476 kohm
115	 -870.0 mV	 -57.6500 uA	 15.09106678 kohm
116	 -860.0 mV	 -55.6160 uA	 15.46317606 kohm
117	 -850.0 mV	 -52.6080 uA	 16.15723844 kohm
118	 -840.0 mV	 -52.3160 uA	 16.05627342 kohm
119	 -830.0 mV	 -49.4500 uA	 16.78463094 kohm
120	 -820.0 mV	 -48.1020 uA	 17.04710823 kohm
121	 -810.0 mV	 -44.5760 uA	 18.17121321 kohm
122	 -800.0 mV	 -42.0640 uA	 19.01863827 kohm
123	 -790.0 mV	 -40.5740 uA	 19.47059693 kohm
124	 -780.0 mV	 -39.1080 uA	 19.94476833 kohm
125	 -770.0 mV	 -37.9220 uA	 20.30483624 kohm
126	 -760.0 mV	 -36.4480 uA	 20.85162423 kohm
127	 -750.0 mV	 -35.2260 uA	 21.29109181 kohm
128	 -740.0 mV	 -34.1080 uA	 21.69578984 kohm
129	 -730.0 mV	 -33.0860 uA	 22.06371275 kohm
130	 -720.0 mV	 -31.7900 uA	 22.64863165 kohm
131	 -710.0 mV	 -30.4140 uA	 23.34451240 kohm
132	 -700.0 mV	 -29.7460 uA	 23.53257581 kohm
133	 -690.0 mV	 -28.8300 uA	 23.93340271 kohm
134	 -680.0 mV	 -27.3500 uA	 24.86288848 kohm
135	 -670.0 mV	 -26.6000 uA	 25.18796992 kohm
136	 -660.0 mV	 -25.5700 uA	 25.81149785 kohm
137	 -650.0 mV	 -24.4920 uA	 26.53927813 kohm
138	 -640.0 mV	 -23.6360 uA	 27.07733965 kohm
139	 -630.0 mV	 -22.6520 uA	 27.81211372 kohm
140	 -620.0 mV	 -21.7760 uA	 28.47171198 kohm
141	 -610.0 mV	 -20.9720 uA	 29.08640092 kohm
142	 -600.0 mV	 -20.1060 uA	 29.84183826 kohm
143	 -590.0 mV	 -19.3720 uA	 30.45632872 kohm
144	 -580.0 mV	 -18.5900 uA	 31.19956966 kohm
145	 -570.0 mV	 -17.9940 uA	 31.67722574 kohm
146	 -560.0 mV	 -17.1840 uA	 32.58845438 kohm
147	 -550.0 mV	 -16.5900 uA	 33.15250151 kohm
148	 -540.0 mV	 -15.8360 uA	 34.09952008 kohm
149	 -530.0 mV	 -15.2700 uA	 34.70857891 kohm
150	 -520.0 mV	 -14.7940 uA	 35.14938489 kohm
151	 -510.0 mV	 -14.2600 uA	 35.76437588 kohm
152	 -500.0 mV	 -13.5420 uA	 36.92216807 kohm
153	 -490.0 mV	 -12.9880 uA	 37.72713274 kohm
154	 -480.0 mV	 -12.3700 uA	 38.80355699 kohm
155	 -470.0 mV	 -12.0840 uA	 38.89440583 kohm
156	 -460.0 mV	 -11.4700 uA	 40.10462075 kohm
157	 -450.0 mV	 -11.0740 uA	 40.63572332 kohm
158	 -440.0 mV	 -10.5620 uA	 41.65877675 kohm
159	 -430.0 mV	 -10.1480 uA	 42.37288136 kohm
160	 -420.0 mV	 -9.80640 uA	 42.82917279 kohm
161	 -410.0 mV	 -9.19040 uA	 44.61176880 kohm
162	 -400.0 mV	 -8.86460 uA	 45.12329942 kohm
163	 -390.0 mV	 -8.44610 uA	 46.17515777 kohm
164	 -380.0 mV	 -8.06320 uA	 47.12769124 kohm
165	 -370.0 mV	 -7.87180 uA	 47.00322671 kohm
166	 -360.0 mV	 -7.53400 uA	 47.78338200 kohm
167	 -350.0 mV	 -7.16710 uA	 48.83425653 kohm
168	 -340.0 mV	 -6.81370 uA	 49.89946725 kohm
169	 -330.0 mV	 -6.53550 uA	 50.49345880 kohm
170	 -320.0 mV	 -6.20780 uA	 51.54805245 kohm
171	 -310.0 mV	 -5.86260 uA	 52.87756286 kohm
172	 -300.0 mV	 -5.56200 uA	 53.93743258 kohm
173	 -290.0 mV	 -5.21540 uA	 55.60455574 kohm
174	 -280.0 mV	 -4.92990 uA	 56.79628390 kohm
175	 -270.0 mV	 -4.65990 uA	 57.94115754 kohm
176	 -260.0 mV	 -4.41520 uA	 58.88747962 kohm
177	 -250.0 mV	 -4.15510 uA	 60.16702366 kohm
178	 -240.0 mV	 -3.90170 uA	 61.51164877 kohm
179	 -230.0 mV	 -3.65390 uA	 62.94644079 kohm
180	 -220.0 mV	 -3.37010 uA	 65.27996202 kohm
181	 -210.0 mV	 -3.14320 uA	 66.81089336 kohm
182	 -200.0 mV	 -2.96350 uA	 67.48776784 kohm
183	 -190.0 mV	 -2.76970 uA	 68.59948731 kohm
184	 -180.0 mV	 -2.63350 uA	 68.35010442 kohm
185	 -170.0 mV	 -2.30440 uA	 73.77191460 kohm
186	 -160.0 mV	 -2.13100 uA	 75.08212107 kohm
187	 -150.0 mV	 -1.95040 uA	 76.90730107 kohm
188	 -140.0 mV	 -1.77510 uA	 78.86879612 kohm
189	 -130.0 mV	 -1.60930 uA	 80.78046356 kohm
190	 -120.0 mV	 -1.58320 uA	 75.79585649 kohm
191	 -110.0 mV	 -1.38760 uA	 79.27356587 kohm
192	 -100.0 mV	 -1.22610 uA	 81.55941603 kohm
193	 -90.0 mV	 -1.10320 uA	 81.58085569 kohm
194	 -80.0 mV	 -965.780 nA	 82.83460001 kohm
195	 -70.0 mV	 -850.500 nA	 82.30452675 kohm
196	 -60.0 mV	 -751.840 nA	 79.80421366 kohm
197	 -50.0 mV	 -638.440 nA	 78.31589499 kohm
198	 -40.0 mV	 -500.980 nA	 79.84350673 kohm
199	 -30.0 mV	 -387.180 nA	 77.48334108 kohm
200	 -20.0 mV	 -255.740 nA	 78.20442637 kohm
201	 -10.0 mV	 -127.860 nA	 78.21054278 kohm
202	 0 V	 44.640 pA	 0 ohm
