time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 8.7 V 	Vb = 9 V 	Vb = 9.2 V 	Vb = 9.5 V 
2.76E-4	1427357.04631206	1332988.82814387	1274244.82119406	1191709.73284902
2.77E-4	1426788.66404703	1332442.53142541	1273712.24205577	1191196.15128101
2.78E-4	1426222.46150379	1331898.33065265	1273181.70524612	1190684.53669156
2.79E-4	1425658.4225462	1331356.21028324	1272653.19561616	1190174.87449398
2.8E-4	1425096.53121458	1330816.15494519	1272126.69818307	1189667.1502616
2.81E-4	1424536.77172323	1330278.14943441	1271602.19812779	1189161.34972543
2.82E-4	1423979.12845787	1329742.17871231	1271079.68079263	1188657.45877191
2.83E-4	1423423.58597319	1329208.22790338	1270559.13167897	1188155.46344066
2.84E-4	1422870.12899046	1328676.28229288	1270040.53644495	1187655.34992225
2.85E-4	1422318.74239514	1328146.32732454	1269523.88090327	1187157.1045561
2.86E-4	1421769.41123455	1327618.3485983	1269009.15101894	1186660.71382834
2.87E-4	1421222.12071558	1327092.33186811	1268496.33290717	1186166.16436969
2.88E-4	1420676.85620245	1326568.26303972	1267985.4128312	1185673.44295347
2.89E-4	1420133.60321449	1326046.12816859	1267476.37720026	1185182.53649357
2.9E-4	1419592.34742397	1325525.91345776	1266969.21256749	1184693.43204244
2.91E-4	1419053.07465398	1325007.60525578	1266463.90562792	1184206.11678922
2.92E-4	1418515.7708763	1324491.1900547	1265960.44321653	1183720.57805777
2.93E-4	1417980.42220939	1323976.65448808	1265458.81230625	1183236.80330484
2.94E-4	1417447.0149163	1323463.98532901	1264959.0000061	1182754.7801182
2.95E-4	1416915.53540277	1322953.16948821	1264460.9935593	1182274.49621485
2.96E-4	1416385.97021516	1322444.19401212	1263964.78034139	1181795.93943922
2.97E-4	1415858.30603864	1321937.04608104	1263470.34785846	1181319.09776147
2.98E-4	1415332.52969521	1321431.71300734	1262977.68374534	1180843.95927569
2.99E-4	1414808.6281419	1320928.18223358	1262486.77576385	1180370.51219831
3E-4	1414286.58846891	1320426.44133085	1261997.6118011	1179898.74486635
3.01E-4	1413766.39789782	1319926.47799694	1261510.17986776	1179428.64573586
3.02E-4	1413248.04377985	1319428.28005469	1261024.4680964	1178960.20338026
3.03E-4	1412731.51359408	1318931.83545029	1260540.4647399	1178493.40648879
3.04E-4	1412216.79494578	1318437.13225163	1260058.15816976	1178028.24386495
3.05E-4	1411703.87556471	1317944.15864667	1259577.53687457	1177564.704425
3.06E-4	1411192.74330346	1317452.90294186	1259098.58945846	1177102.77719639
3.07E-4	1410683.38613585	1316963.35356055	1258621.30463953	1176642.45131639
3.08E-4	1410175.79215532	1316475.49904148	1258145.67124834	1176183.71603052
3.09E-4	1409669.94957335	1315989.32803722	1257671.67822649	1175726.56069124
3.1E-4	1409165.84671794	1315504.82931267	1257199.31462509	1175270.97475643
3.11E-4	1408663.47203203	1315021.99174366	1256728.56960337	1174816.94778812
3.12E-4	1408162.8140721	1314540.80431541	1256259.43242725	1174364.46945104
3.13E-4	1407663.8615066	1314061.25612119	1255791.89246796	1173913.52951133
3.14E-4	1407166.60311456	1313583.33636086	1255325.93920066	1173464.11783523
3.15E-4	1406671.02778413	1313107.03433953	1254861.56220313	1173016.22438775
3.16E-4	1406177.12451123	1312632.33946617	1254398.75115442	1172569.83923143
3.17E-4	1405684.88239811	1312159.24125234	1253937.49583354	1172124.95252509
3.18E-4	1405194.29065202	1311687.72931078	1253477.78611821	1171681.55452254
3.19E-4	1404705.33858388	1311217.79335422	1253019.61198358	1171239.63557146
3.2E-4	1404218.01560694	1310749.42319405	1252562.96350101	1170799.18611213
3.21E-4	1403732.31123551	1310282.60873906	1252107.83083682	1170360.19667626
3.22E-4	1403248.21508368	1309817.33999427	1251654.20425111	1169922.6578859
3.23E-4	1402765.71686406	1309353.60705965	1251202.07409657	1169486.56045222
3.24E-4	1402284.80638655	1308891.40012896	1250751.43081733	1169051.89517444
3.25E-4	1401805.4735571	1308430.70948859	1250302.26494779	1168618.6529387
3.26E-4	1401327.70837656	1307971.52551638	1249854.56711153	1168186.82471699
3.27E-4	1400851.50093946	1307513.83868046	1249408.32802014	1167756.40156609
3.28E-4	1400376.84143288	1307057.6395382	1248963.53847219	1167327.37462648
3.29E-4	1399903.72013528	1306602.91873504	1248520.18935213	1166899.73512134
3.3E-4	1399432.12741539	1306149.66700342	1248078.27162921	1166473.47435553
3.31E-4	1398962.05373111	1305697.87516176	1247637.77635647	1166048.58371454
3.32E-4	1398493.48962841	1305247.53411331	1247198.69466969	1165625.05466356
3.33E-4	1398026.42574025	1304798.63484521	1246761.01778638	1165202.87874646
3.34E-4	1397560.85278552	1304351.1684274	1246324.73700481	1164782.04758488
3.35E-4	1397096.76156803	1303905.12601166	1245889.84370298	1164362.55287721
3.36E-4	1396634.14297544	1303460.49883059	1245456.3293377	1163944.38639773
3.37E-4	1396172.98797828	1303017.27819663	1245024.18544362	1163527.53999567
3.38E-4	1395713.28762895	1302575.45550115	1244593.40363228	1163112.00559429
3.39E-4	1395255.0330607	1302135.02221342	1244163.97559121	1162697.77519001
3.4E-4	1394798.21548674	1301695.96987974	1243735.89308301	1162284.84085152
3.41E-4	1394342.82619922	1301258.29012252	1243309.14794442	1161873.19471895
3.42E-4	1393888.85656832	1300821.97463933	1242883.73208553	1161462.82900295
3.43E-4	1393436.29804133	1300387.01520206	1242459.63748878	1161053.73598394
3.44E-4	1392985.14214172	1299953.403656	1242036.85620824	1160645.90801122
3.45E-4	1392535.38046827	1299521.13191898	1241615.38036864	1160239.33750219
