Index	Vtop	Itop	Resistance
152	 1.7500 V	C 5.00050 uA	 349.9650035 kohm
153	 1.7150 V	C 5.00060 uA	 342.9588449 kohm
154	 1.6800 V	C 5.00060 uA	 335.9596848 kohm
155	 1.6450 V	C 5.00060 uA	 328.9605247 kohm
156	 1.6100 V	C 5.00060 uA	 321.9613646 kohm
157	 1.5750 V	C 5.00050 uA	 314.9685031 kohm
158	 1.5400 V	C 5.00050 uA	 307.9692031 kohm
159	 1.5050 V	C 5.00050 uA	 300.9699030 kohm
160	 1.4700 V	C 5.00050 uA	 293.9706029 kohm
161	 1.4350 V	C 5.00050 uA	 286.9713029 kohm
162	 1.4000 V	C 5.00080 uA	 279.9552072 kohm
163	 1.3650 V	C 5.00060 uA	 272.9672439 kohm
164	 1.3300 V	C 5.00060 uA	 265.9680838 kohm
165	 1.2950 V	C 5.00060 uA	 258.9689237 kohm
166	 1.2600 V	C 5.00050 uA	 251.9748025 kohm
167	 1.2250 V	C 5.00050 uA	 244.9755024 kohm
168	 1.1900 V	C 5.00050 uA	 237.9762024 kohm
169	 1.1550 V	C 5.00060 uA	 230.9722833 kohm
170	 1.1200 V	C 5.00050 uA	 223.9776022 kohm
171	 1.0850 V	C 5.00060 uA	 216.9739631 kohm
172	 1.0500 V	C 5.00060 uA	 209.9748030 kohm
173	 1.0150 V	C 5.00080 uA	 202.9675252 kohm
174	 980.0 mV	C 5.00060 uA	 195.9764828 kohm
175	 945.0 mV	C 5.00070 uA	 188.9735437 kohm
176	 910.0 mV	C 5.00060 uA	 181.9781626 kohm
177	 875.0 mV	C 5.00060 uA	 174.9790025 kohm
178	 840.0 mV	C 5.00060 uA	 167.9798424 kohm
179	 805.0 mV	C 5.00060 uA	 160.9806823 kohm
180	 770.0 mV	C 5.00050 uA	 153.9846015 kohm
181	 735.0 mV	C 5.00060 uA	 146.9823621 kohm
182	 700.0 mV	C 5.00060 uA	 139.9832020 kohm
183	 665.0 mV	C 5.00070 uA	 132.9813826 kohm
184	 630.0 mV	C 5.00060 uA	 125.9848818 kohm
185	 595.0 mV	C 5.00030 uA	 118.9928604 kohm
186	 560.0 mV	C 5.00060 uA	 111.9865616 kohm
187	 525.0 mV	C 5.00060 uA	 104.9874015 kohm
188	 490.0 mV	C 5.00050 uA	 97.99020098 kohm
189	 455.0 mV	C 5.00050 uA	 90.99090091 kohm
190	 420.0 mV	C 5.00050 uA	 83.99160084 kohm
191	 385.0 mV	C 5.00060 uA	 76.99076111 kohm
192	 350.0 mV	C 5.00070 uA	 69.99020137 kohm
193	 315.0 mV	C 5.00060 uA	 62.99244091 kohm
194	 280.0 mV	C 5.00060 uA	 55.99328081 kohm
195	 245.0 mV	C 5.00060 uA	 48.99412071 kohm
196	 210.0 mV	C 5.00060 uA	 41.99496060 kohm
197	 175.0 mV	C 5.00050 uA	 34.99650035 kohm
198	 140.0 mV	C 5.00060 uA	 27.99664040 kohm
199	 105.0 mV	C 5.00060 uA	 20.99748030 kohm
200	 70.0 mV	C 5.00070 uA	 13.99804027 kohm
201	 35.0 mV	C 5.00060 uA	 6.999160101 kohm
202	 0 V	 290.50 nA	 0 ohm
