Index	Vtop	Itop	Resistance
107	 950.0 mV	C 800.040 uA	 1.187440628 kohm
108	 940.0 mV	C 800.000 uA	 1.175000000 kohm
109	 930.0 mV	C 800.040 uA	 1.162441878 kohm
110	 920.0 mV	C 800.040 uA	 1.149942503 kohm
111	 910.0 mV	C 800.000 uA	 1.137500000 kohm
112	 900.0 mV	C 800.040 uA	 1.124943753 kohm
113	 890.0 mV	C 800.020 uA	 1.112472188 kohm
114	 880.0 mV	C 800.040 uA	 1.099945003 kohm
115	 870.0 mV	C 800.040 uA	 1.087445628 kohm
116	 860.0 mV	C 800.000 uA	 1.075000000 kohm
117	 850.0 mV	C 800.020 uA	 1.062473438 kohm
118	 840.0 mV	C 800.040 uA	 1.049947503 kohm
119	 830.0 mV	C 800.040 uA	 1.037448128 kohm
120	 820.0 mV	C 800.020 uA	 1.024974376 kohm
121	 810.0 mV	C 800.040 uA	 1.012449378 kohm
122	 800.0 mV	C 800.020 uA	 999.9750006 ohm
123	 790.0 mV	C 800.020 uA	 987.4753131 ohm
124	 780.0 mV	C 800.040 uA	 974.9512524 ohm
125	 770.0 mV	C 800.040 uA	 962.4518774 ohm
126	 760.0 mV	C 800.040 uA	 949.9525024 ohm
127	 750.0 mV	C 800.020 uA	 937.4765631 ohm
128	 740.0 mV	C 800.040 uA	 924.9537523 ohm
129	 730.0 mV	C 800.000 uA	 912.5000000 ohm
130	 720.0 mV	C 800.020 uA	 899.9775006 ohm
131	 710.0 mV	C 800.020 uA	 887.4778131 ohm
132	 700.0 mV	C 800.020 uA	 874.9781255 ohm
133	 690.0 mV	C 799.980 uA	 862.5215630 ohm
134	 680.0 mV	C 800.040 uA	 849.9575021 ohm
135	 670.0 mV	C 800.040 uA	 837.4581271 ohm
136	 660.0 mV	C 800.040 uA	 824.9587521 ohm
137	 650.0 mV	C 800.000 uA	 812.5000000 ohm
138	 640.0 mV	C 800.040 uA	 799.9600020 ohm
139	 630.0 mV	C 800.040 uA	 787.4606270 ohm
140	 620.0 mV	C 800.040 uA	 774.9612519 ohm
141	 610.0 mV	C 800.020 uA	 762.4809380 ohm
142	 600.0 mV	C 800.020 uA	 749.9812505 ohm
143	 590.0 mV	C 800.040 uA	 737.4631268 ohm
144	 580.0 mV	C 800.040 uA	 724.9637518 ohm
145	 570.0 mV	C 800.000 uA	 712.5000000 ohm
146	 560.0 mV	C 800.000 uA	 700.0000000 ohm
147	 550.0 mV	C 800.040 uA	 687.4656267 ohm
148	 540.0 mV	C 800.020 uA	 674.9831254 ohm
149	 530.0 mV	C 800.040 uA	 662.4668767 ohm
150	 520.0 mV	C 800.020 uA	 649.9837504 ohm
151	 510.0 mV	C 800.040 uA	 637.4681266 ohm
152	 500.0 mV	C 800.020 uA	 624.9843754 ohm
153	 490.0 mV	C 800.040 uA	 612.4693765 ohm
154	 480.0 mV	C 800.020 uA	 599.9850004 ohm
155	 470.0 mV	C 800.040 uA	 587.4706265 ohm
156	 460.0 mV	C 800.040 uA	 574.9712514 ohm
157	 450.0 mV	C 800.020 uA	 562.4859379 ohm
158	 440.0 mV	C 800.000 uA	 550.0000000 ohm
159	 430.0 mV	C 800.020 uA	 537.4865628 ohm
160	 420.0 mV	C 800.000 uA	 525.0000000 ohm
161	 410.0 mV	C 800.040 uA	 512.4743763 ohm
162	 400.0 mV	C 800.020 uA	 499.9875003 ohm
163	 390.0 mV	C 800.040 uA	 487.4756262 ohm
164	 380.0 mV	C 800.000 uA	 475.0000000 ohm
165	 370.0 mV	C 800.000 uA	 462.5000000 ohm
166	 360.0 mV	C 800.020 uA	 449.9887503 ohm
167	 350.0 mV	C 800.000 uA	 437.5000000 ohm
168	 340.0 mV	C 800.040 uA	 424.9787511 ohm
169	 330.0 mV	C 800.020 uA	 412.4896878 ohm
170	 320.0 mV	C 800.000 uA	 400.0000000 ohm
171	 310.0 mV	C 800.040 uA	 387.4806260 ohm
172	 300.0 mV	 790.900 uA	 379.3147048 ohm
173	 290.0 mV	 767.560 uA	 377.8206264 ohm
174	 280.0 mV	 738.840 uA	 378.9724433 ohm
175	 270.0 mV	 715.480 uA	 377.3690390 ohm
176	 260.0 mV	 690.480 uA	 376.5496466 ohm
177	 250.0 mV	 663.680 uA	 376.6875603 ohm
178	 240.0 mV	 637.520 uA	 376.4587778 ohm
179	 230.0 mV	 612.880 uA	 375.2773789 ohm
180	 220.0 mV	 586.240 uA	 375.2729258 ohm
181	 210.0 mV	 561.540 uA	 373.9715782 ohm
182	 200.0 mV	 534.560 uA	 374.1394792 ohm
183	 190.0 mV	 509.260 uA	 373.0903664 ohm
184	 180.0 mV	 483.260 uA	 372.4703058 ohm
185	 170.0 mV	 457.660 uA	 371.4547918 ohm
186	 160.0 mV	 431.420 uA	 370.8682954 ohm
187	 150.0 mV	 405.580 uA	 369.8407219 ohm
188	 140.0 mV	 379.260 uA	 369.1399040 ohm
189	 130.0 mV	 353.620 uA	 367.6262655 ohm
190	 120.0 mV	 327.400 uA	 366.5241295 ohm
191	 110.0 mV	 300.480 uA	 366.0809372 ohm
192	 100.0 mV	 273.700 uA	 365.3635367 ohm
193	 90.0 mV	 246.940 uA	 364.4610027 ohm
194	 80.0 mV	 220.000 uA	 363.6363636 ohm
195	 70.0 mV	 192.780 uA	 363.1082062 ohm
196	 60.0 mV	 165.580 uA	 362.3626042 ohm
197	 50.0 mV	 138.000 uA	 362.3188406 ohm
198	 40.0 mV	 110.540 uA	 361.8599602 ohm
199	 30.0 mV	 82.9400 uA	 361.7072583 ohm
200	 20.0 mV	 55.4380 uA	 360.7633753 ohm
201	 10.0 mV	 27.6060 uA	 362.2400927 ohm
202	 0 V	 16.9836 nA	 0 ohm
