Voltage (V)	Current (mA)	Voltage (V)	Current (mA)	Voltage (V)	Current (mA)	Voltage (V)	Current (mA)
	R = 1.41 KÙ		R = 1.03 KÙ		R = 0.56 KÙ		R = 0.32 KÙ
0.0327619	0.0237751797431923	0	0	0.0144762	0.0263942780425562	0.00533333	0.016736339334865
0.0330852714714715	0.0240105245457602	2.95152152152152E-4	2.92437219715671E-4	0.0146302588588589	0.0266753297689343	0.00542332476476476	0.0170187705864345
0.0334086429429429	0.0242458892616818	5.90304304304304E-4	5.84874641483693E-4	0.0147843177177177	0.0269563865166855	0.00551331952952953	0.01730120293121
0.0337320144144144	0.0244812740861591	8.85456456456456E-4	8.77312467356553E-4	0.0149383765765766	0.0272374483387158	0.00560331429429429	0.0175836363873337
0.0340553858858859	0.0247166792144107	0.00118060860860861	0.00116975089938702	0.0150924354354354	0.0275185152879325	0.00569330905905906	0.0178660709729476
0.0343787573573574	0.0249521048416721	0.00147576076076076	0.00146219013962828	0.0152464942942943	0.0277995874172437	0.00578330382382382	0.0181485067061941
0.0347021288288288	0.0251875511631957	0.00177091291291291	0.00175463039013408	0.0154005531531532	0.0280806647795586	0.00587329858858859	0.0184309436052156
0.0350255003003003	0.0254230183742511	0.00206606506506507	0.00204707185295887	0.015554612012012	0.0283617474277871	0.00596329335335335	0.0187133816881545
0.0353488717717718	0.0256585066701253	0.00236121721721722	0.00233951473015792	0.0157086708708709	0.0286428354148405	0.00605328811811812	0.0189958209731532
0.0356722432432432	0.0258940162461226	0.00265636936936937	0.0026319592237875	0.0158627297297297	0.0289239287936308	0.00614328288288288	0.0192782614783543
0.0359956147147147	0.0261295472975653	0.00295152152152152	0.00292440553590497	0.0160167885885886	0.0292050276170711	0.00623327764764765	0.0195607032219005
0.0363189861861862	0.026365100019793	0.00324667367367367	0.00321685386856898	0.0161708474474474	0.0294861319380756	0.00632327241241241	0.0198431462219346
0.0366423576576577	0.0266006746081638	0.00354182582582583	0.00350930442383954	0.0163249063063063	0.0297672418095594	0.00641326717717718	0.0201255904965993
0.0369657291291291	0.0268362712580536	0.00383697797797798	0.00380175740377823	0.0164789651651652	0.0300483572844388	0.00650326194194194	0.0204080360640375
0.0372891006006006	0.0270718901648567	0.00413213013013013	0.00409421301044827	0.016633024024024	0.030329478415631	0.00659325670670671	0.0206904829423922
0.0376124720720721	0.0273075315239859	0.00442728228228228	0.00438667144591474	0.0167870828828829	0.0306106052560543	0.00668325147147147	0.0209729311498065
0.0379358435435435	0.0275431955308724	0.00472243443443443	0.00467913291224462	0.0169411417417417	0.0308917378586282	0.00677324623623624	0.0212553807044235
0.038259215015015	0.0277788823809666	0.00501758658658659	0.00497159761150703	0.0170952006006006	0.0311728762762732	0.006863241001001	0.0215378316243865
0.0385825864864865	0.0280145922697374	0.00531273873873874	0.0052640657457733	0.0172492594594595	0.0314540205619108	0.00695323576576577	0.0218202839278388
0.038905957957958	0.0282503253926731	0.00560789089089089	0.00555653751711714	0.0174033183183183	0.0317351707684638	0.00704323053053053	0.0221027376329237
0.0392293294294294	0.0284860819452812	0.00590304304304304	0.00584901312761478	0.0175573771771772	0.0320163269488559	0.0071332252952953	0.0223851927577848
0.0395527009009009	0.0287218621230885	0.00619819519519519	0.00614149277934508	0.017711436036036	0.0322974891560121	0.00722322006006006	0.0226676493205657
0.0398760723723724	0.0289576661216416	0.00649334734734735	0.00643397667438972	0.0178654948948949	0.0325786574428584	0.00731321482482482	0.0229501073394101
0.0401994438438438	0.0291934941365067	0.0067884994994995	0.00672646501483329	0.0180195537537538	0.0328598318623222	0.00740320958958959	0.0232325668324617
0.0405228153153153	0.0294293463632701	0.00708365165165165	0.00701895800276346	0.0181736126126126	0.0331410124673316	0.00749320435435435	0.0235150278178644
0.0408461867867868	0.0296652229975379	0.0073788038038038	0.00731145584027112	0.0183276714714715	0.0334221993108163	0.00758319911911912	0.0237974903137623
0.0411695582582583	0.0299011242349366	0.00767395595595595	0.00760395872945049	0.0184817303303303	0.033703392445707	0.00767319388388388	0.0240799543382992
0.0414929297297297	0.0301370502711132	0.00796910810810811	0.0078964668723993	0.0186357891891892	0.0339845919249356	0.00776318864864865	0.0243624199096195
0.0418163012012012	0.0303730013017352	0.00826426026026026	0.00818898047121891	0.0187898480480481	0.0342657978014351	0.00785318341341341	0.0246448870458674
0.0421396726726727	0.0306089775224907	0.00855941241241241	0.00848149972801443	0.0189439069069069	0.0345470101281398	0.00794317817817818	0.0249273557651872
0.0424630441441441	0.0308449791290888	0.00885456456456456	0.00877402484489489	0.0190979657657658	0.0348282289579853	0.00803317294294294	0.0252098260857234
0.0427864156156156	0.0310810063172597	0.00914971671671672	0.00906655602397338	0.0192520246246246	0.0351094543439082	0.00812316770770771	0.0254922980256206
0.0431097870870871	0.0313170592827548	0.00944486886886887	0.00935909346736716	0.0194060834834835	0.0353906863388465	0.00821316247247247	0.0257747716030234
0.0434331585585586	0.0315531382213467	0.00974002102102102	0.00965163737719783	0.0195601423423423	0.0356719249957395	0.00830315723723724	0.0260572468360767
0.04375653003003	0.0317892433288297	0.0100351731731732	0.00994418795559145	0.0197142012012012	0.0359531703675276	0.008393152002002	0.0263397237429253
0.0440799015015015	0.03202537480102	0.0103303253253253	0.0102367454046787	0.0198682600600601	0.0362344225071524	0.00848314676676677	0.0266222023417142
0.044403272972973	0.0322615328337552	0.0106254774774775	0.010529309926595	0.0200223189189189	0.0365156814675571	0.00857314153153153	0.0269046826505884
