time (s)	Resistance (Ù)	Resistance (Ù)
	Device 1	Device 2
0.008327	11170	17000
0.008354	11180	17000
0.008381	11180	17000
0.008408	11190	17000
0.008435	11200	17000
0.008462	11200	17000
0.008489	11210	17000
0.008516	11220	17000
0.008543	11230	17000
0.00857	11230	17000
0.008597	11240	17000
0.008624	11250	17000
0.008651	11260	17000
0.008677	11260	17000
0.008704	11270	17000
0.008731	11280	17000
0.008758	11280	17000
0.008785	11290	17000
0.008812	11300	17000
0.008838	11310	17000
0.008865	11310	17000
0.008892	11320	17000
0.008919	11330	17000
0.008946	11340	17000
0.008972	11340	17000
0.008999	11350	17000
0.009026	11360	17000
0.009053	11370	17000
0.009079	11370	17000
0.009106	11380	17000
0.009133	11390	17000
0.009159	11390	17000
0.009186	11400	17000
0.009213	11410	17000
0.009239	11420	17000
0.009266	11420	17000
0.009293	11430	17000
0.009319	11440	17000
0.009346	11450	17000
0.009373	11450	17000
0.009399	11460	17000
0.009426	11470	17000
0.009453	11480	17000
0.009479	11490	17000
0.009506	11490	17000
0.009533	11500	17000
0.009559	11510	17000
0.009586	11520	17000
0.009613	11520	17000
0.009639	11530	17000
0.009666	11540	17000
0.009693	11550	17000
0.009719	11550	17000
0.009746	11560	17000
0.009773	11570	17000
0.009799	11580	17000
0.009826	11580	17000
0.009853	11590	17000
0.009879	11600	17000
0.009906	11610	17000
0.009933	11620	17000
0.009959	11620	17000
0.009986	11630	17000
0.01001	11640	17000
0.01004	11650	17000
0.01007	11650	17000
0.01009	11660	17000
0.01012	11670	17000
0.01015	11680	17000
0.01017	11690	17000
0.0102	11690	17000
0.01023	11700	17000
0.01025	11710	17000
0.01028	11720	17000
0.01031	11730	17000
0.01033	11730	17000
0.01036	11740	17000
0.01039	11750	17000
0.01041	11760	17000
0.01044	11770	17000
0.01047	11770	17000
0.01049	11780	17000
0.01052	11790	17000
0.01055	11800	17000
0.01057	11810	17000
0.0106	11810	17000
0.01063	11820	17000
0.01066	11830	17000
0.01068	11840	17000
0.01071	11850	17000
0.01074	11850	17000
0.01076	11860	17000
0.01079	11870	17000
0.01082	11880	17000
0.01084	11890	17000
0.01087	11890	17000
0.0109	11900	17000
0.01092	11910	17000
0.01095	11920	17000
0.01098	11930	17000
0.01101	11930	17000
0.01103	11940	17000
0.01106	11950	17000
0.01109	11960	17000
0.01111	11970	17000
0.01114	11980	17000
0.01117	11980	17000
0.0112	11990	17000
0.01122	12000	17000
0.01125	12010	17000
0.01128	12020	17000
0.0113	12030	17000
0.01133	12030	17000
0.01136	12040	17000
0.01139	12050	17000
0.01141	12060	17000
0.01144	12070	17000
0.01147	12080	17000
0.0115	12080	17000
0.01152	12090	17000
0.01155	12100	17000
0.01158	12110	17000
0.01161	12120	17000
0.01163	12130	17000
0.01166	12130	17000
0.01169	12140	17000
0.01172	12150	17000
0.01174	12160	17000
0.01177	12170	17000
0.0118	12180	17000
0.01183	12190	17000
0.01185	12190	17000
0.01188	12200	17000
0.01191	12210	17000
0.01194	12220	17000
0.01197	12230	17000
0.01199	12240	17000
0.01202	12250	17000
0.01205	12250	17000
0.01208	12260	17000
0.0121	12270	17000
0.01213	12280	17000
0.01216	12290	17000
0.01219	12300	17000
0.01222	12310	17000
0.01225	12320	17000
0.01227	12320	17000
0.0123	12330	17000
0.01233	12340	17000
0.01236	12350	17000
0.01239	12360	17000
0.01241	12370	17000
0.01244	12380	17000
0.01247	12390	17000
0.0125	12390	17000
0.01253	12400	17000
0.01256	12410	17000
0.01258	12420	17000
0.01261	12430	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
0.01265	12440	17000
0.01265	12440	17000
0.01266	12440	17000
0.01266	12440	17000
0.01266	12440	17000
0.01266	12440	17000
0.01266	12440	17000
0.01266	12440	17000
0.01266	12440	17000
0.01266	12440	17000
0.01267	12450	17000
0.01267	12450	17000
0.01267	12450	17000
0.01268	12450	17000
0.01268	12450	17000
0.01269	12450	17000
0.0127	12460	17000
0.01271	12460	17000
0.01273	12470	17000
0.01274	12470	17000
0.01276	12470	17000
0.01277	12480	17000
0.01279	12480	17000
0.0128	12490	17000
0.01282	12490	17000
0.01283	12500	17000
0.01284	12500	17000
0.01286	12500	17000
0.01287	12510	17000
0.01288	12510	17000
0.0129	12520	17000
0.01291	12520	17000
0.01292	12530	17000
0.01294	12530	17000
0.01295	12530	17000
0.01296	12540	17000
0.01298	12540	17000
0.01299	12550	17000
0.013	12550	17000
0.01301	12550	17000
0.01303	12560	17000
0.01304	12560	17000
0.01305	12570	17000
0.01306	12570	17000
0.01308	12570	17000
0.01309	12580	17000
0.0131	12580	17000
0.01311	12580	17000
0.01313	12590	17000
0.01314	12590	17000
0.01315	12600	17000
0.01316	12600	17000
0.01317	12600	17000
0.01318	12610	17000
0.0132	12610	17000
0.01321	12610	17000
0.01322	12620	17000
0.01323	12620	16990
0.01324	12620	16990
0.01325	12630	16990
0.01327	12630	16990
0.01328	12640	16990
0.01329	12640	16990
0.0133	12640	16990
0.01331	12650	16990
0.01332	12650	16990
0.01333	12650	16990
0.01334	12660	16990
0.01335	12660	16990
0.01337	12660	16990
0.01338	12670	16990
0.01339	12670	16990
0.0134	12670	16990
0.01341	12680	16990
0.01342	12680	16990
0.01343	12680	16990
0.01344	12690	16990
0.01345	12690	16990
0.01346	12690	16990
0.01347	12700	16990
0.01348	12700	16990
0.01349	12700	16990
0.0135	12710	16990
0.01351	12710	16990
0.01352	12710	16990
0.01353	12720	16990
0.01354	12720	16980
0.01355	12720	16980
0.01356	12720	16980
0.01357	12730	16980
0.01358	12730	16980
0.01359	12730	16980
0.0136	12740	16980
0.01361	12740	16980
0.01362	12740	16980
0.01363	12750	16980
0.01364	12750	16980
0.01365	12750	16980
0.01366	12760	16980
0.01367	12760	16980
0.01368	12760	16980
0.01369	12760	16980
0.0137	12770	16980
0.01371	12770	16980
0.01372	12770	16980
0.01373	12780	16970
0.01374	12780	16970
0.01375	12780	16970
0.01376	12790	16970
0.01377	12790	16970
0.01378	12790	16970
0.01379	12790	16970
0.0138	12800	16970
0.01381	12800	16970
0.01382	12800	16970
0.01383	12810	16970
0.01384	12810	16970
0.01385	12810	16970
0.01385	12810	16970
0.01386	12820	16970
0.01387	12820	16960
0.01388	12820	16960
0.01389	12830	16960
0.0139	12830	16960
0.01391	12830	16960
0.01392	12830	16960
0.01393	12840	16960
0.01394	12840	16960
0.01395	12840	16960
0.01396	12850	16960
0.01396	12850	16960
0.01397	12850	16960
0.01398	12850	16950
0.01399	12860	16950
0.014	12860	16950
0.01401	12860	16950
0.01402	12870	16950
0.01403	12870	16950
0.01404	12870	16950
0.01405	12870	16950
0.01405	12880	16950
0.01406	12880	16950
0.01407	12880	16950
0.01408	12880	16940
0.01409	12890	16940
0.0141	12890	16940
0.01411	12890	16940
0.01412	12900	16940
0.01413	12900	16940
0.01414	12900	16940
0.01414	12900	16940
0.01415	12910	16940
0.01416	12910	16930
0.01417	12910	16930
0.01418	12910	16930
0.01419	12920	16930
0.0142	12920	16930
0.01421	12920	16930
0.01421	12930	16930
0.01422	12930	16930
0.01423	12930	16930
0.01424	12930	16920
0.01425	12940	16920
0.01426	12940	16920
0.01427	12940	16920
0.01428	12940	16920
0.01429	12950	16920
0.01429	12950	16920
0.0143	12950	16910
0.01431	12960	16910
0.01432	12960	16910
0.01433	12960	16910
0.01434	12960	16910
0.01435	12970	16910
0.01436	12970	16910
0.01437	12970	16900
0.01437	12970	16900
0.01438	12980	16900
0.01439	12980	16900
0.0144	12980	16900
0.01441	12990	16900
0.01442	12990	16890
0.01443	12990	16890
0.01444	12990	16890
0.01445	13000	16890
0.01445	13000	16890
0.01446	13000	16890
0.01447	13010	16880
0.01448	13010	16880
0.01449	13010	16880
0.0145	13010	16880
0.01451	13020	16880
0.01452	13020	16880
0.01453	13020	16870
0.01454	13020	16870
0.01455	13030	16870
0.01455	13030	16870
0.01456	13030	16870
0.01457	13040	16860
0.01458	13040	16860
0.01459	13040	16860
0.0146	13040	16860
0.01461	13050	16860
0.01462	13050	16850
0.01463	13050	16850
0.01464	13060	16850
0.01465	13060	16850
0.01466	13060	16840
0.01467	13060	16840
0.01468	13070	16840
0.01469	13070	16840
0.0147	13070	16830
0.01471	13080	16830
0.01472	13080	16830
0.01473	13080	16830
0.01474	13090	16820
0.01475	13090	16820
0.01476	13090	16820
0.01477	13100	16820
0.01478	13100	16810
0.01479	13100	16810
0.0148	13100	16810
0.01481	13110	16800
0.01482	13110	16800
0.01483	13110	16800
0.01484	13120	16790
0.01485	13120	16790
0.01486	13120	16790
0.01487	13130	16780
0.01488	13130	16780
0.0149	13130	16780
0.01491	13140	16770
0.01492	13140	16770
0.01493	13150	16770
0.01494	13150	16760
0.01496	13150	16760
0.01497	13160	16750
0.01498	13160	16750
0.015	13170	16740
0.01501	13170	16740
0.01503	13170	16730
0.01504	13180	16730
0.01506	13180	16720
0.01507	13190	16720
0.01509	13190	16710
0.01512	13200	16700
0.01514	13210	16690
0.01516	13220	16680
0.01519	13220	16670
0.01521	13230	16670
0.01522	13230	16660
0.01524	13240	16650
0.01525	13240	16650
0.01527	13250	16640
0.01528	13250	16630
0.01529	13250	16630
0.0153	13260	16620
0.01532	13260	16620
0.01533	13270	16610
0.01534	13270	16610
0.01535	13270	16600
0.01536	13280	16600
0.01537	13280	16590
0.01538	13280	16590
0.0154	13290	16580
0.01541	13290	16580
0.01542	13290	16570
0.01543	13300	16570
0.01544	13300	16560
0.01545	13300	16560
0.01546	13310	16550
0.01547	13310	16550
0.01548	13310	16540
0.01549	13310	16540
0.0155	13320	16530
0.01551	13320	16530
0.01552	13320	16520
0.01553	13330	16520
0.01554	13330	16510
0.01555	13330	16510
0.01556	13330	16500
0.01557	13340	16500
0.01558	13340	16490
0.01558	13340	16490
0.01559	13350	16480
0.0156	13350	16480
0.01561	13350	16470
0.01562	13350	16470
0.01563	13360	16460
0.01564	13360	16460
0.01565	13360	16450
0.01566	13370	16450
0.01567	13370	16440
0.01568	13370	16440
0.01569	13370	16430
0.01569	13380	16430
0.0157	13380	16420
0.01571	13380	16420
0.01572	13380	16410
0.01573	13390	16410
0.01574	13390	16410
0.01575	13390	16400
0.01576	13390	16400
0.01576	13400	16390
0.01577	13400	16390
0.01578	13400	16380
0.01579	13410	16380
0.0158	13410	16370
0.01581	13410	16370
0.01582	13410	16360
0.01582	13420	16360
0.01583	13420	16350
0.01584	13420	16350
0.01585	13420	16340
0.01586	13430	16340
0.01587	13430	16330
0.01588	13430	16330
0.01588	13430	16320
0.01589	13440	16320
0.0159	13440	16310
0.01591	13440	16310
0.01592	13440	16300
0.01593	13450	16300
0.01594	13450	16290
0.01594	13450	16280
0.01595	13450	16280
0.01596	13460	16270
