Voltage (V)	Current (A)	Current (A)	Current (A)	Current (A)	Current (A)
	R = 4.85 KÙ	R = 5.11 KÙ	R = 5.32 KÙ	R = 5.50 KÙ	R = 5.70 KÙ
0.11	1.67088373791905E-5	1.58615502433349E-5	1.52450044806608E-5	1.47369109987877E-5	1.42305847508882E-5
0.12	1.8290321166185E-5	1.7362838691906E-5	1.6687937155848E-5	1.61317528591789E-5	1.55775030643676E-5
0.13	1.98882674768628E-5	1.88797548673267E-5	1.8145890100945E-5	1.75411143860693E-5	1.6938442182118E-5
0.14	2.15041145707681E-5	2.04136640965496E-5	1.96201755720172E-5	1.89662640999679E-5	1.83146270412113E-5
0.15	2.31393168193583E-5	2.19659470014231E-5	2.11121205255058E-5	2.04084847318177E-5	1.97072963009162E-5
0.16	2.47953460150367E-5	2.35380007413438E-5	2.26230678125782E-5	2.18690743775402E-5	2.11177034575744E-5
0.17	2.64736926958648E-5	2.51312402707943E-5	2.41543773877849E-5	2.33493476664093E-5	2.2547117972832E-5
0.18	2.81758674871469E-5	2.67470996128983E-5	2.57074275331099E-5	2.48506369443064E-5	2.39968264162414E-5
0.19	2.99034024610956E-5	2.83870331501372E-5	2.72836160985182E-5	2.63742934729217E-5	2.54681336232597E-5
0.2	3.16578525157996E-5	3.00525169333934E-5	2.88843617601144E-5	2.79216886459809E-5	2.69623638696896E-5
0.21	3.34407967747368E-5	3.17450500104955E-5	3.05111052970477E-5	2.94942152235919E-5	2.84808620636164E-5
0.22	3.52538400080929E-5	3.34661557754621E-5	3.21653108883097E-5	3.10932885858235E-5	3.00249949559162E-5
0.23	3.70986140771618E-5	3.521738333966E-5	3.38484674305948E-5	3.27203480066422E-5	3.15961523704244E-5
0.24	3.89767794031318E-5	3.70003089261083E-5	3.55620898784076E-5	3.43768579493567E-5	3.31957484548702E-5
0.25	4.08900264615761E-5	3.88165372881858E-5	3.73077206076239E-5	3.60643093847331E-5	3.48252229537056E-5
0.26	4.28400773039954E-5	4.06677031540176E-5	3.90869308037339E-5	3.77842211329697E-5	3.64860425039725E-5
0.27	4.48286871077803E-5	4.25554726978403E-5	4.09013218760142E-5	3.95381412307374E-5	3.81797019553747E-5
0.28	4.68576457559893E-5	4.44815450396716E-5	4.27525268989049E-5	4.13276483245173E-5	3.99077257157439E-5
0.29	4.89287794483647E-5	4.6447653774633E-5	4.46422120818868E-5	4.31543530914893E-5	4.16716691231096E-5
0.3	5.10439523450354E-5	4.84555685333023E-5	4.65720782691822E-5	4.50198996892499E-5	4.34731198456081E-5
0.31	5.32050682443867E-5	5.05070965745005E-5	4.85438624706293E-5	4.69259672356651E-5	4.53136993104913E-5
0.32	5.54140722966078E-5	5.26040844119471E-5	5.05593394251091E-5	4.88742713201903E-5	4.71950641635204E-5
0.33	5.76729527544579E-5	5.47484194762467E-5	5.26203231979293E-5	5.08665655480159E-5	4.91189077600591E-5
0.34	5.99837427628282E-5	5.69420318137041E-5	5.47286688136059E-5	5.2904643118431E-5	5.10869616892075E-5
0.35	6.23485221887091E-5	5.91868958234962E-5	5.68862739255108E-5	5.49903384388231E-5	5.31009973323497E-5
0.36	6.47694194932114E-5	6.14850320347649E-5	5.90950805238873E-5	5.71255287757694E-5	5.51628274575158E-5
0.37	6.72486136473245E-5	6.38385089252289E-5	6.1357076683773E-5	5.93121359447028E-5	5.72743078509962E-5
0.38	6.97883360931378E-5	6.62494447829544E-5	6.36742983544009E-5	6.15521280396757E-5	5.94373389876743E-5
0.39	7.23908727522889E-5	6.87200096129561E-5	6.60488311916919E-5	6.38475212047776E-5	6.1653867741582E-5
0.4	7.50585660834477E-5	7.12524270903494E-5	6.84828124354853E-5	6.62003814488007E-5	6.39258891382181E-5
0.41	7.77938171906867E-5	7.3848976561807E-5	7.09784328331991E-5	6.86128265047876E-5	6.62554481502055E-5
0.42	8.05990879846376E-5	7.65119950971258E-5	7.35379386116508E-5	7.10870277361335E-5	6.8644641537905E-5
0.43	8.34769033983762E-5	7.92438795927465E-5	7.61636334988127E-5	7.36252120909603E-5	7.1095619736641E-5
0.44	8.64298536600335E-5	8.20470889291232E-5	7.88578807973231E-5	7.62296641065199E-5	7.36105887922383E-5
0.45	8.94605966241748E-5	8.49241461838806E-5	8.16231055116177E-5	7.8902727965432E-5	7.61918123466123E-5
0.46	9.25718601640494E-5	8.78776409027554E-5	8.44617965305976E-5	8.16468096056069E-5	7.88416136752E-5
0.47	9.57664446268597E-5	9.09102314303613E-5	8.73765088677974E-5	8.44643788857518E-5	8.15623777780639E-5
0.48	9.90472253542631E-5	9.40246473028794E-5	9.03698659610695E-5	8.73579718084105E-5	8.43565535265537E-5
0.49	1.02417155270374E-4	9.72236917048241E-5	9.34445620338555E-5	9.03301928025368E-5	8.72266558674556E-5
0.5	1.05879267539593E-4	1.00510243992099E-4	9.66033645201691E-5	9.33837170676564E-5	9.01752680866141E-5
